line_name,line_begin,line_end,orderid_a,orderid_b,station_name_a,station_name_b,occur_num,line_num_line_id,num_new_station_id_a,num_new_station_id_b,direction
372路,怡乐南街公交场站,日新路南口,0,2,怡乐南街公交场站,北探小区,1,372,0,2,0
372路,怡乐南街公交场站,日新路南口,0,3,怡乐南街公交场站,新华联家园西门,1,372,0,3,0
372路,怡乐南街公交场站,日新路南口,0,4,怡乐南街公交场站,怡乐中路北口,1,372,0,4,0
372路,怡乐南街公交场站,日新路南口,0,5,怡乐南街公交场站,通州杨庄南口,1,372,0,5,0
372路,怡乐南街公交场站,日新路南口,0,6,怡乐南街公交场站,通州杨庄,1,372,0,6,0
372路,怡乐南街公交场站,日新路南口,0,7,怡乐南街公交场站,新华联锦园,1,372,0,7,0
372路,怡乐南街公交场站,日新路南口,0,8,怡乐南街公交场站,通州杨庄北口,1,372,0,8,0
372路,怡乐南街公交场站,日新路南口,0,9,怡乐南街公交场站,通州北苑路口西,1,372,0,9,0
372路,怡乐南街公交场站,日新路南口,0,10,怡乐南街公交场站,通州北苑路口东,1,372,0,10,0
372路,怡乐南街公交场站,日新路南口,0,11,怡乐南街公交场站,通州西门路口东,1,372,0,11,0
372路,怡乐南街公交场站,日新路南口,0,12,怡乐南街公交场站,西大街路口西,1,372,0,12,0
372路,怡乐南街公交场站,日新路南口,0,13,怡乐南街公交场站,通州佟麟阁大街,1,372,0,13,0
372路,怡乐南街公交场站,日新路南口,0,14,怡乐南街公交场站,潞河医院,1,372,0,14,0
372路,怡乐南街公交场站,日新路南口,0,15,怡乐南街公交场站,果园北,1,372,0,15,0
372路,怡乐南街公交场站,日新路南口,0,16,怡乐南街公交场站,果园东,1,372,0,16,0
372路,怡乐南街公交场站,日新路南口,0,17,怡乐南街公交场站,九棵树,1,372,0,17,0
372路,怡乐南街公交场站,日新路南口,0,18,怡乐南街公交场站,杨家洼,1,372,0,18,0
372路,怡乐南街公交场站,日新路南口,0,19,怡乐南街公交场站,杨家洼路口南,1,372,0,19,0
372路,怡乐南街公交场站,日新路南口,0,20,怡乐南街公交场站,云景东路,1,372,0,20,0
372路,怡乐南街公交场站,日新路南口,0,21,怡乐南街公交场站,云景里,1,372,0,21,0
372路,怡乐南街公交场站,日新路南口,0,22,怡乐南街公交场站,群芳园,1,372,0,22,0
372路,怡乐南街公交场站,日新路南口,0,23,怡乐南街公交场站,大马庄,1,372,0,23,0
372路,怡乐南街公交场站,日新路南口,0,24,怡乐南街公交场站,大马庄南站,1,372,0,24,0
372路,怡乐南街公交场站,日新路南口,0,25,怡乐南街公交场站,地铁万盛东站,1,372,0,25,0
372路,怡乐南街公交场站,日新路南口,0,26,怡乐南街公交场站,曹园逸家小区,1,372,0,26,0
372路,怡乐南街公交场站,日新路南口,1,3,通州半壁店,新华联家园西门,1,372,1,3,0
372路,怡乐南街公交场站,日新路南口,1,4,通州半壁店,怡乐中路北口,1,372,1,4,0
372路,怡乐南街公交场站,日新路南口,1,5,通州半壁店,通州杨庄南口,1,372,1,5,0
372路,怡乐南街公交场站,日新路南口,1,6,通州半壁店,通州杨庄,1,372,1,6,0
372路,怡乐南街公交场站,日新路南口,1,7,通州半壁店,新华联锦园,1,372,1,7,0
372路,怡乐南街公交场站,日新路南口,1,8,通州半壁店,通州杨庄北口,1,372,1,8,0
372路,怡乐南街公交场站,日新路南口,1,9,通州半壁店,通州北苑路口西,1,372,1,9,0
372路,怡乐南街公交场站,日新路南口,1,10,通州半壁店,通州北苑路口东,1,372,1,10,0
372路,怡乐南街公交场站,日新路南口,1,11,通州半壁店,通州西门路口东,1,372,1,11,0
372路,怡乐南街公交场站,日新路南口,1,12,通州半壁店,西大街路口西,1,372,1,12,0
372路,怡乐南街公交场站,日新路南口,1,13,通州半壁店,通州佟麟阁大街,1,372,1,13,0
372路,怡乐南街公交场站,日新路南口,1,14,通州半壁店,潞河医院,1,372,1,14,0
372路,怡乐南街公交场站,日新路南口,1,15,通州半壁店,果园北,1,372,1,15,0
372路,怡乐南街公交场站,日新路南口,1,16,通州半壁店,果园东,1,372,1,16,0
372路,怡乐南街公交场站,日新路南口,1,17,通州半壁店,九棵树,1,372,1,17,0
372路,怡乐南街公交场站,日新路南口,1,18,通州半壁店,杨家洼,1,372,1,18,0
372路,怡乐南街公交场站,日新路南口,1,19,通州半壁店,杨家洼路口南,1,372,1,19,0
372路,怡乐南街公交场站,日新路南口,1,20,通州半壁店,云景东路,1,372,1,20,0
372路,怡乐南街公交场站,日新路南口,1,21,通州半壁店,云景里,1,372,1,21,0
372路,怡乐南街公交场站,日新路南口,1,22,通州半壁店,群芳园,1,372,1,22,0
372路,怡乐南街公交场站,日新路南口,1,23,通州半壁店,大马庄,1,372,1,23,0
372路,怡乐南街公交场站,日新路南口,1,24,通州半壁店,大马庄南站,1,372,1,24,0
372路,怡乐南街公交场站,日新路南口,1,25,通州半壁店,地铁万盛东站,1,372,1,25,0
372路,怡乐南街公交场站,日新路南口,1,26,通州半壁店,曹园逸家小区,1,372,1,26,0
372路,怡乐南街公交场站,日新路南口,2,5,北探小区,通州杨庄南口,1,372,2,5,0
372路,怡乐南街公交场站,日新路南口,2,6,北探小区,通州杨庄,1,372,2,6,0
372路,怡乐南街公交场站,日新路南口,2,7,北探小区,新华联锦园,1,372,2,7,0
372路,怡乐南街公交场站,日新路南口,2,8,北探小区,通州杨庄北口,1,372,2,8,0
372路,怡乐南街公交场站,日新路南口,2,9,北探小区,通州北苑路口西,1,372,2,9,0
372路,怡乐南街公交场站,日新路南口,2,10,北探小区,通州北苑路口东,1,372,2,10,0
372路,怡乐南街公交场站,日新路南口,2,11,北探小区,通州西门路口东,1,372,2,11,0
372路,怡乐南街公交场站,日新路南口,2,12,北探小区,西大街路口西,1,372,2,12,0
372路,怡乐南街公交场站,日新路南口,2,13,北探小区,通州佟麟阁大街,1,372,2,13,0
372路,怡乐南街公交场站,日新路南口,2,14,北探小区,潞河医院,1,372,2,14,0
372路,怡乐南街公交场站,日新路南口,2,15,北探小区,果园北,1,372,2,15,0
372路,怡乐南街公交场站,日新路南口,2,16,北探小区,果园东,1,372,2,16,0
372路,怡乐南街公交场站,日新路南口,2,17,北探小区,九棵树,1,372,2,17,0
372路,怡乐南街公交场站,日新路南口,2,18,北探小区,杨家洼,1,372,2,18,0
372路,怡乐南街公交场站,日新路南口,2,19,北探小区,杨家洼路口南,1,372,2,19,0
372路,怡乐南街公交场站,日新路南口,2,20,北探小区,云景东路,1,372,2,20,0
372路,怡乐南街公交场站,日新路南口,2,21,北探小区,云景里,1,372,2,21,0
372路,怡乐南街公交场站,日新路南口,2,22,北探小区,群芳园,1,372,2,22,0
372路,怡乐南街公交场站,日新路南口,2,23,北探小区,大马庄,1,372,2,23,0
372路,怡乐南街公交场站,日新路南口,2,24,北探小区,大马庄南站,1,372,2,24,0
372路,怡乐南街公交场站,日新路南口,2,25,北探小区,地铁万盛东站,1,372,2,25,0
372路,怡乐南街公交场站,日新路南口,2,26,北探小区,曹园逸家小区,1,372,2,26,0
372路,怡乐南街公交场站,日新路南口,3,5,新华联家园西门,通州杨庄南口,1,372,3,5,0
372路,怡乐南街公交场站,日新路南口,3,6,新华联家园西门,通州杨庄,1,372,3,6,0
372路,怡乐南街公交场站,日新路南口,3,7,新华联家园西门,新华联锦园,1,372,3,7,0
372路,怡乐南街公交场站,日新路南口,3,8,新华联家园西门,通州杨庄北口,1,372,3,8,0
372路,怡乐南街公交场站,日新路南口,3,9,新华联家园西门,通州北苑路口西,1,372,3,9,0
372路,怡乐南街公交场站,日新路南口,3,10,新华联家园西门,通州北苑路口东,1,372,3,10,0
372路,怡乐南街公交场站,日新路南口,3,11,新华联家园西门,通州西门路口东,1,372,3,11,0
372路,怡乐南街公交场站,日新路南口,3,12,新华联家园西门,西大街路口西,1,372,3,12,0
372路,怡乐南街公交场站,日新路南口,3,13,新华联家园西门,通州佟麟阁大街,1,372,3,13,0
372路,怡乐南街公交场站,日新路南口,3,14,新华联家园西门,潞河医院,1,372,3,14,0
372路,怡乐南街公交场站,日新路南口,3,15,新华联家园西门,果园北,1,372,3,15,0
372路,怡乐南街公交场站,日新路南口,3,16,新华联家园西门,果园东,1,372,3,16,0
372路,怡乐南街公交场站,日新路南口,3,17,新华联家园西门,九棵树,1,372,3,17,0
372路,怡乐南街公交场站,日新路南口,3,18,新华联家园西门,杨家洼,1,372,3,18,0
372路,怡乐南街公交场站,日新路南口,3,19,新华联家园西门,杨家洼路口南,1,372,3,19,0
372路,怡乐南街公交场站,日新路南口,3,20,新华联家园西门,云景东路,1,372,3,20,0
372路,怡乐南街公交场站,日新路南口,3,21,新华联家园西门,云景里,1,372,3,21,0
372路,怡乐南街公交场站,日新路南口,3,22,新华联家园西门,群芳园,1,372,3,22,0
372路,怡乐南街公交场站,日新路南口,3,23,新华联家园西门,大马庄,1,372,3,23,0
372路,怡乐南街公交场站,日新路南口,3,24,新华联家园西门,大马庄南站,1,372,3,24,0
372路,怡乐南街公交场站,日新路南口,3,25,新华联家园西门,地铁万盛东站,1,372,3,25,0
372路,怡乐南街公交场站,日新路南口,3,26,新华联家园西门,曹园逸家小区,1,372,3,26,0
372路,怡乐南街公交场站,日新路南口,4,5,怡乐中路北口,通州杨庄南口,1,372,4,5,0
372路,怡乐南街公交场站,日新路南口,4,6,怡乐中路北口,通州杨庄,1,372,4,6,0
372路,怡乐南街公交场站,日新路南口,4,7,怡乐中路北口,新华联锦园,1,372,4,7,0
372路,怡乐南街公交场站,日新路南口,4,8,怡乐中路北口,通州杨庄北口,1,372,4,8,0
372路,怡乐南街公交场站,日新路南口,4,9,怡乐中路北口,通州北苑路口西,1,372,4,9,0
372路,怡乐南街公交场站,日新路南口,4,10,怡乐中路北口,通州北苑路口东,1,372,4,10,0
372路,怡乐南街公交场站,日新路南口,4,11,怡乐中路北口,通州西门路口东,1,372,4,11,0
372路,怡乐南街公交场站,日新路南口,4,12,怡乐中路北口,西大街路口西,1,372,4,12,0
372路,怡乐南街公交场站,日新路南口,4,13,怡乐中路北口,通州佟麟阁大街,1,372,4,13,0
372路,怡乐南街公交场站,日新路南口,4,14,怡乐中路北口,潞河医院,1,372,4,14,0
372路,怡乐南街公交场站,日新路南口,4,15,怡乐中路北口,果园北,1,372,4,15,0
372路,怡乐南街公交场站,日新路南口,4,16,怡乐中路北口,果园东,1,372,4,16,0
372路,怡乐南街公交场站,日新路南口,4,17,怡乐中路北口,九棵树,1,372,4,17,0
372路,怡乐南街公交场站,日新路南口,4,18,怡乐中路北口,杨家洼,1,372,4,18,0
372路,怡乐南街公交场站,日新路南口,4,19,怡乐中路北口,杨家洼路口南,1,372,4,19,0
372路,怡乐南街公交场站,日新路南口,4,20,怡乐中路北口,云景东路,1,372,4,20,0
372路,怡乐南街公交场站,日新路南口,4,21,怡乐中路北口,云景里,1,372,4,21,0
372路,怡乐南街公交场站,日新路南口,4,22,怡乐中路北口,群芳园,1,372,4,22,0
372路,怡乐南街公交场站,日新路南口,4,23,怡乐中路北口,大马庄,1,372,4,23,0
372路,怡乐南街公交场站,日新路南口,4,24,怡乐中路北口,大马庄南站,1,372,4,24,0
372路,怡乐南街公交场站,日新路南口,4,25,怡乐中路北口,地铁万盛东站,1,372,4,25,0
372路,怡乐南街公交场站,日新路南口,4,26,怡乐中路北口,曹园逸家小区,1,372,4,26,0
372路,怡乐南街公交场站,日新路南口,5,10,通州杨庄南口,通州北苑路口东,1,372,5,10,0
372路,怡乐南街公交场站,日新路南口,5,11,通州杨庄南口,通州西门路口东,1,372,5,11,0
372路,怡乐南街公交场站,日新路南口,5,12,通州杨庄南口,西大街路口西,1,372,5,12,0
372路,怡乐南街公交场站,日新路南口,5,13,通州杨庄南口,通州佟麟阁大街,1,372,5,13,0
372路,怡乐南街公交场站,日新路南口,5,14,通州杨庄南口,潞河医院,1,372,5,14,0
372路,怡乐南街公交场站,日新路南口,5,15,通州杨庄南口,果园北,1,372,5,15,0
